timestamp;T_BOILER100;T_BOILER200;T_IN;T_MF4_IN;T_MF4_OUT;T_MM2_IN;T_MM2_OUT;Sinal_vazao1
2025-05-21 00:02:19;-100.0;-100.0;-100.0;26.73;25.59;26.87;27.44;0.0
2025-05-21 00:02:32;-100.0;-100.0;-100.0;27.54;25.51;26.91;26.73;0.0
2025-05-21 00:02:34;-100.0;-100.0;-100.0;23.17;27.06;27.28;26.69;0.0
2025-05-21 00:02:38;-100.0;-100.0;-100.0;28.37;24.89;26.34;27.23;0.0
2025-05-21 00:02:42;-100.0;-100.0;-100.0;18.95;27.09;27.25;26.67;0.0
2025-05-21 00:02:47;-100.0;-100.0;-100.0;21.37;25.15;27.51;27.03;0.0
2025-05-21 00:03:12;-100.0;-100.0;-100.0;24.05;26.08;27.35;26.79;0.0
2025-05-21 00:03:19;-100.0;-100.0;-100.0;29.25;24.98;27.3;27.12;0.0
2025-05-21 00:03:21;-100.0;-100.0;-100.0;27.77;25.66;26.65;26.58;0.0
2025-05-21 00:03:27;-100.0;-100.0;-100.0;21.87;25.01;27.28;27.09;0.0
2025-05-21 00:04:34;-100.0;-100.0;-100.0;25.12;25.12;26.6;27.37;0.0
2025-05-21 00:06:24;-100.0;-100.0;-100.0;28.19;24.99;26.71;27.25;0.0
2025-05-21 00:06:27;-100.0;-100.0;-100.0;27.62;25.6;26.73;26.55;0.0
2025-05-21 00:06:48;-100.0;-100.0;-100.0;21.77;26.06;27.07;26.97;0.0
2025-05-21 00:06:52;-100.0;-100.0;-100.0;22.2;26.45;27.41;27.02;0.0
2025-05-21 00:06:53;-100.0;-100.0;-100.0;23.2;26.61;27.32;26.51;0.0
2025-05-21 00:07:19;-100.0;-100.0;-100.0;27.65;25.88;27.02;27.01;0.0
2025-05-21 00:07:48;-100.0;-100.0;-100.0;27.23;25.67;26.45;27.11;0.0
2025-05-21 00:08:24;-100.0;-100.0;-100.0;21.43;26.85;27.07;26.51;0.0
2025-05-21 00:08:27;-100.0;-100.0;-100.0;26.38;25.32;26.36;27.08;0.0
2025-05-21 00:08:29;-100.0;-100.0;-100.0;26.81;24.9;26.21;27.22;0.0
2025-05-21 00:09:17;-100.0;-100.0;-100.0;23.24;26.5;27.44;26.99;0.0
2025-05-21 00:09:19;-100.0;-100.0;-100.0;21.75;26.88;27.18;26.45;0.0
2025-05-21 00:09:21;-100.0;-100.0;-100.0;26.42;24.9;26.47;26.56;0.0
2025-05-21 00:09:23;-100.0;-100.0;-100.0;26.3;24.86;26.67;27.24;0.0
2025-05-21 00:09:25;-100.0;-100.0;-100.0;27.68;25.54;26.83;26.6;0.0
2025-05-21 00:09:28;-100.0;-100.0;-100.0;19.87;25.39;27.35;27.07;0.0
2025-05-21 00:09:30;-100.0;-100.0;-100.0;20.87;25.23;27.51;26.94;0.0
2025-05-21 00:09:32;-100.0;-100.0;-100.0;28.64;25.37;26.66;26.98;0.0
2025-05-21 00:09:34;-100.0;-100.0;-100.0;26.93;25.74;26.8;26.66;0.0
2025-05-21 00:09:36;-100.0;-100.0;-100.0;27.25;25.2;26.89;26.88;0.0
2025-05-21 00:09:39;-100.0;-100.0;-100.0;28.42;24.59;26.36;27.14;0.0
2025-05-21 00:09:41;-100.0;-100.0;-100.0;28.05;25.28;26.64;26.65;0.0
2025-05-21 00:09:43;-100.0;-100.0;-100.0;19.52;25.56;26.61;27.08;0.0
2025-05-21 00:09:47;-100.0;-100.0;-100.0;22.65;25.27;26.94;26.93;0.0
2025-05-21 00:09:49;-100.0;-100.0;-100.0;27.93;25.6;26.37;27.12;0.0
2025-05-21 00:10:18;-100.0;-100.0;-100.0;20.11;25.41;27.17;26.5;0.0
2025-05-21 00:11:51;-100.0;-100.0;-100.0;21.36;26.54;27.31;26.55;0.0
2025-05-21 00:11:52;-100.0;-100.0;-100.0;24.04;25.32;26.65;26.43;0.0
2025-05-21 00:11:53;-100.0;-100.0;-100.0;25.06;24.95;26.52;27.26;0.0
2025-05-21 00:11:56;-100.0;-100.0;-100.0;27.35;25.53;26.81;26.69;0.0
2025-05-21 00:12:26;-100.0;-100.0;-100.0;21.69;25.56;26.89;26.49;0.0
2025-05-21 00:12:28;-100.0;-100.0;-100.0;25.99;25.35;26.38;27.04;0.0
2025-05-21 00:12:40;-100.0;-100.0;-100.0;20.7;25.37;27.25;26.83;0.0
2025-05-21 00:12:46;-100.0;-100.0;-100.0;20.83;24.86;26.64;27.14;0.0
2025-05-21 00:12:47;-100.0;-100.0;-100.0;22.69;26.51;27.23;26.47;0.0
2025-05-21 00:12:57;-100.0;-100.0;-100.0;21.95;25.02;27.26;26.95;0.0
2025-05-21 00:13:22;-100.0;-100.0;-100.0;18.68;26.64;27.15;26.78;0.0
2025-05-21 00:13:34;-100.0;-100.0;-100.0;22.02;25.03;27.23;26.92;0.0
2025-05-21 00:13:36;-100.0;-100.0;-100.0;28.07;25.01;26.49;27.08;0.0
2025-05-21 00:15:35;-100.0;-100.0;-100.0;20.93;25.5;27.02;26.88;0.0
2025-05-21 00:15:53;-100.0;-100.0;-100.0;26.07;26.02;26.66;26.36;0.0
2025-05-21 00:16:01;-100.0;-100.0;-100.0;27.1;26.42;27.0;26.72;0.0
2025-05-21 00:16:52;-100.0;-100.0;-100.0;24.85;25.87;26.52;27.3;0.0
2025-05-21 00:18:19;-100.0;-100.0;-100.0;28.12;24.97;26.61;26.91;0.0
2025-05-21 00:19:08;-100.0;-100.0;-100.0;20.44;25.33;27.25;26.83;0.0
2025-05-21 00:19:21;-100.0;-100.0;-100.0;29.55;25.6;26.93;26.65;0.0
2025-05-21 00:31:52;-100.0;-100.0;-100.0;24.94;25.74;26.34;27.16;0.0
2025-05-21 00:36:52;-100.0;-100.0;-100.0;19.67;26.45;26.36;26.34;0.0
2025-05-21 00:39:15;-100.0;-100.0;-100.0;22.88;25.21;26.31;26.93;0.0
2025-05-21 00:41:52;-100.0;-100.0;-100.0;19.95;26.02;26.82;26.36;0.0
2025-05-21 00:42:12;-100.0;-100.0;-100.0;28.6;25.41;26.38;26.21;0.0
2025-05-21 00:42:16;-100.0;-100.0;-100.0;19.74;25.17;27.03;27.05;0.0
2025-05-21 00:42:19;-100.0;-100.0;-100.0;27.1;24.94;27.34;27.0;0.0
2025-05-21 00:43:06;-100.0;-100.0;-100.0;27.97;24.78;26.49;26.63;0.0
2025-05-21 00:43:09;-100.0;-100.0;-100.0;27.34;25.48;26.49;26.3;0.0
2025-05-21 00:43:47;-100.0;-100.0;-100.0;21.87;25.73;26.5;26.34;0.0
2025-05-21 00:49:35;-100.0;-100.0;-100.0;20.88;24.62;26.94;26.82;0.0
2025-05-21 00:49:36;-100.0;-100.0;-100.0;28.13;26.61;26.92;26.26;0.0
2025-05-21 00:49:39;-100.0;-100.0;-100.0;28.23;25.7;26.34;26.22;0.0
2025-05-21 00:49:59;-100.0;-100.0;-100.0;27.36;25.3;26.56;26.39;0.0
