timestamp;T_MF4_IN;T_MF4_OUT;T_MM2_IN;T_MM2_OUT;T_BOILER100;T_BOILER200;T_IN;Sinal_Vazao1
2025-04-10 18:13:24;29.22;27.52;34.47;30.88;-100.0;-100.0;-100.0;1.0
2025-04-10 18:13:28;34.98;29.29;32.37;32.4;-100.0;-100.0;-100.0;1.0
2025-04-10 18:13:32;35.05;25.17;33.59;31.94;-100.0;-100.0;-100.0;1.0
2025-04-10 18:13:36;25.61;28.17;34.71;33.25;-100.0;-100.0;-100.0;1.0
2025-04-10 18:13:40;16.13;29.2;32.03;32.74;-100.0;-100.0;-100.0;1.0
2025-04-10 18:13:45;26.89;28.97;32.59;31.35;-100.0;-100.0;-100.0;1.0
2025-04-10 18:14:25;35.22;23.47;32.76;31.78;-100.0;-100.0;-100.0;1.0
2025-04-10 18:14:29;29.04;31.77;31.78;33.76;-100.0;-100.0;-100.0;1.0
2025-04-10 18:14:34;27.59;35.52;30.48;32.2;-100.0;-100.0;-100.0;1.0
2025-04-10 18:14:38;14.38;28.9;32.36;33.75;-100.0;-100.0;-100.0;1.0
2025-04-10 18:14:42;38.96;32.05;31.49;33.94;-100.0;-100.0;-100.0;1.0
2025-04-10 18:14:46;31.2;27.6;34.85;30.93;-100.0;-100.0;-100.0;1.0
2025-04-10 18:14:50;24.78;32.95;30.17;32.43;-100.0;-100.0;-100.0;1.0
2025-04-10 18:14:54;35.39;30.9;30.58;32.87;-100.0;-100.0;-100.0;1.0
2025-04-10 18:14:58;36.79;22.6;33.23;31.25;-100.0;-100.0;-100.0;1.0
2025-04-10 18:15:02;18.49;30.01;32.42;33.1;-100.0;-100.0;-100.0;1.0
2025-04-10 18:15:07;28.78;27.82;34.05;31.09;-100.0;-100.0;-100.0;1.0
2025-04-10 18:15:30;28.36;33.91;33.24;32.78;-100.0;-100.0;-100.0;1.0
2025-04-10 18:15:34;33.29;30.41;32.65;32.24;-100.0;-100.0;-100.0;1.0
2025-04-10 18:15:38;34.53;31.91;30.59;33.21;-100.0;-100.0;-100.0;1.0
2025-04-10 18:15:42;23.84;32.44;31.66;33.72;-100.0;-100.0;-100.0;1.0
2025-04-10 18:15:46;24.19;25.06;30.93;32.15;-100.0;-100.0;-100.0;1.0
2025-04-10 18:15:50;17.05;28.03;32.76;32.5;-100.0;-100.0;-100.0;1.0
2025-04-10 18:15:55;35.98;28.93;33.94;30.97;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:00;25.25;32.1;30.92;32.24;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:03;37.63;23.26;33.42;31.81;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:07;27.5;24.79;34.16;31.07;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:11;30.43;26.47;35.44;30.9;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:16;30.85;30.64;33.83;33.04;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:19;34.18;33.61;34.03;31.2;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:23;24.48;28.91;33.0;31.5;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:27;35.44;28.53;34.32;30.79;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:31;31.86;24.93;33.88;31.82;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:35;31.81;31.22;32.22;32.19;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:39;27.26;25.66;32.55;32.19;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:43;20.14;26.81;33.23;32.04;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:47;34.73;25.33;34.38;30.84;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:51;30.83;26.65;35.43;31.01;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:55;33.2;28.08;34.76;32.53;-100.0;-100.0;-100.0;1.0
2025-04-10 18:16:59;27.84;29.5;32.45;31.65;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:03;27.75;27.31;34.28;31.16;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:06;27.13;34.12;30.76;32.26;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:11;28.06;33.36;30.95;33.03;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:14;33.32;29.34;34.15;31.58;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:18;28.96;29.73;32.69;32.32;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:22;27.63;29.59;32.92;32.05;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:26;32.06;28.45;34.26;31.28;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:30;33.86;29.36;32.84;32.69;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:34;36.94;30.79;32.96;32.17;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:38;33.36;29.53;32.92;32.73;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:41;37.2;31.24;32.66;32.51;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:46;37.09;31.6;32.25;33.0;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:49;34.09;30.51;31.79;33.13;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:53;28.37;28.96;33.8;32.14;-100.0;-100.0;-100.0;1.0
2025-04-10 18:17:57;31.09;28.31;34.44;31.96;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:01;33.45;31.98;32.53;33.31;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:05;30.1;33.55;32.14;33.16;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:09;30.31;29.42;34.06;33.29;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:13;36.42;31.77;32.34;33.15;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:17;30.92;29.3;33.89;32.97;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:21;29.74;33.11;31.89;33.13;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:25;29.98;33.71;32.44;33.08;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:29;29.47;30.39;32.61;32.9;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:33;28.99;29.62;32.9;32.69;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:36;32.02;30.06;33.52;32.11;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:41;32.17;28.45;33.51;32.46;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:44;28.46;32.02;32.7;32.82;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:48;29.03;27.85;33.39;32.36;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:53;32.34;29.18;33.94;32.18;-100.0;-100.0;-100.0;1.0
2025-04-10 18:18:57;28.11;33.55;32.42;33.0;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:00;33.4;29.04;33.14;32.62;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:05;27.87;29.76;32.77;32.77;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:08;31.81;30.2;33.07;32.64;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:13;32.75;27.48;33.57;32.3;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:17;27.67;27.77;33.7;31.88;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:21;32.46;27.62;33.58;32.35;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:25;29.87;29.17;32.55;32.87;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:29;32.07;27.88;32.56;32.84;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:33;27.77;29.07;33.44;32.56;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:37;28.71;27.73;33.81;32.17;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:41;28.01;29.09;33.32;32.68;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:45;29.25;32.17;32.24;33.17;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:49;27.78;29.1;33.34;32.69;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:53;28.76;27.57;33.42;32.38;-100.0;-100.0;-100.0;1.0
2025-04-10 18:19:57;36.99;31.75;32.26;33.09;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:00;30.52;32.47;32.69;32.93;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:04;28.08;29.59;32.89;32.74;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:09;31.89;29.27;33.33;32.52;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:13;28.43;32.66;32.36;33.09;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:16;33.67;29.55;33.63;32.14;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:20;28.71;28.93;33.75;32.32;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:24;29.32;31.81;32.85;32.76;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:28;29.36;28.28;33.78;32.25;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:32;30.39;30.21;32.83;32.92;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:36;29.04;28.96;33.85;32.05;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:40;28.57;28.02;33.11;32.2;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:45;28.56;28.81;33.1;32.38;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:49;27.51;28.72;33.85;32.3;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:53;30.42;27.66;33.56;32.31;-100.0;-100.0;-100.0;1.0
2025-04-10 18:20:57;28.05;29.36;33.2;32.78;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:00;32.89;31.06;32.68;33.17;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:04;37.34;30.91;32.04;33.13;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:09;27.96;31.01;32.58;33.14;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:12;34.96;27.76;33.3;32.25;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:16;37.43;31.99;32.63;32.83;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:20;31.58;29.96;33.31;32.53;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:24;28.82;29.51;33.82;32.26;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:28;31.75;28.45;33.59;32.24;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:32;32.72;30.38;33.35;32.28;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:36;30.42;32.99;32.76;33.05;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:40;30.38;30.1;32.87;32.88;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:44;27.66;28.52;33.23;32.11;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:48;30.35;32.91;32.7;32.91;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:52;36.18;32.02;32.56;33.23;-100.0;-100.0;-100.0;1.0
2025-04-10 18:21:56;28.58;28.02;33.53;32.27;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:00;30.15;33.32;32.64;32.96;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:04;34.29;31.44;32.44;33.2;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:08;29.21;30.54;32.67;32.19;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:12;27.63;28.72;33.71;32.33;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:16;36.83;30.56;32.54;32.77;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:20;27.1;29.14;33.65;32.61;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:24;29.86;27.76;33.59;32.37;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:28;27.82;28.82;33.96;32.21;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:32;31.2;30.92;32.61;32.88;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:36;27.0;29.09;33.83;32.52;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:40;29.57;29.82;32.89;32.74;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:44;29.36;30.63;33.43;32.68;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:47;29.49;29.72;32.99;32.35;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:51;28.45;28.38;33.54;32.28;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:55;33.63;31.19;32.52;33.13;-100.0;-100.0;-100.0;1.0
2025-04-10 18:22:59;29.45;30.84;32.72;33.12;-100.0;-100.0;-100.0;1.0
2025-04-10 18:23:03;31.38;29.73;33.48;32.57;-100.0;-100.0;-100.0;1.0
2025-04-10 18:23:07;28.24;29.69;33.83;32.41;-100.0;-100.0;-100.0;1.0
2025-04-10 18:23:12;29.45;33.54;32.31;33.15;-100.0;-100.0;-100.0;1.0
2025-04-10 18:23:34;29.63;33.53;32.69;33.02;-100.0;-100.0;-100.0;1.0
2025-04-10 18:23:37;29.21;28.73;33.71;32.33;-100.0;-100.0;-100.0;1.0
2025-04-10 18:23:40;29.91;29.62;33.75;32.48;-100.0;-100.0;-100.0;1.0
2025-04-10 18:23:42;29.72;31.34;33.34;32.72;-100.0;-100.0;-100.0;1.0
2025-04-10 18:23:46;27.42;30.27;33.08;33.07;-100.0;-100.0;-100.0;1.0
2025-04-10 18:23:48;37.58;32.02;32.69;32.96;-100.0;-100.0;-100.0;1.0
2025-04-10 18:23:50;37.28;31.95;32.76;32.83;-100.0;-100.0;-100.0;1.0
2025-04-10 18:23:53;26.71;33.42;32.52;33.16;-100.0;-100.0;-100.0;1.0
2025-04-10 18:23:56;29.87;29.92;33.55;32.38;-100.0;-100.0;-100.0;1.0
2025-04-10 18:23:59;26.58;29.19;33.84;32.57;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:01;27.1;29.46;33.42;32.88;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:04;30.14;28.52;33.51;32.66;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:07;37.16;31.04;32.9;32.53;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:09;30.19;31.55;33.31;32.65;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:11;39.22;30.92;32.55;33.08;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:14;32.93;29.65;33.48;32.39;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:16;29.12;30.24;33.59;32.56;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:19;28.49;28.69;33.65;32.36;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:21;26.91;33.48;33.12;32.92;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:25;27.82;29.78;33.21;33.02;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:26;28.85;30.79;32.86;33.18;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:29;29.53;31.93;33.38;32.25;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:31;34.95;33.78;32.74;33.01;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:34;30.93;28.56;33.28;32.29;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:37;31.82;29.78;33.55;32.38;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:39;34.77;30.22;32.85;32.72;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:42;29.83;30.18;33.6;32.45;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:44;36.37;30.39;32.69;32.78;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:47;28.12;28.52;33.68;32.69;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:50;38.87;31.12;33.51;32.42;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:53;29.88;28.7;33.56;32.44;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:55;38.2;30.92;32.67;32.72;-100.0;-100.0;-100.0;1.0
2025-04-10 18:24:58;39.99;30.63;32.67;32.33;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:00;28.66;29.61;33.47;32.4;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:04;28.43;30.88;33.6;32.37;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:05;38.47;30.56;32.66;32.64;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:09;35.68;29.91;33.62;32.77;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:11;28.46;33.38;33.03;32.84;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:13;32.64;30.39;33.22;32.73;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:16;33.08;29.5;32.99;32.45;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:18;28.09;33.09;33.33;32.59;-100.0;-100.0;-100.0;1.0
